School Year,Fiscal Year,Voted,,Education,% Change,Municipal,% Change,DPW,% Change,Public Safety,% Change,Health & Social Services,% Change,Culture & Recreation,% Change,General Government,% Change,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY2015_2016,FY2016,2015STM,,"$43,205,637.00",," $ 21,683,693.00 ",," $ 6,202,012.00 ",," $ 8,923,452.00 ",," $ 598,145.00 ",," $ 1,818,855.00 ",," $ 4,141,229.00 ",,,,,,,,,,,,,,
SY2016_2017,FY2017,2016STM,,"$45,190,000.00",4.59%," $ 22,303,437.00 ",2.86%," $ 6,389,964.00 ",3.03%," $ 8,981,179.00 ",0.65%," $ 611,845.00 ",2.29%," $ 1,879,026.00 ",3.31%," $ 4,441,423.00 ",7.25%,,,,,,,MS,1036,"$9,111,862.39","$8,795.23",80.87,12.81068381,"$112,672.96"
SY2017_2018,FY2018,2017STM,,"$47,419,300.00",4.93%," $ 22,914,547.00 ",2.74%," $ 6,671,756.00 ",4.41%," $ 9,160,106.00 ",1.99%," $ 664,310.00 ",8.57%," $ 1,940,300.00 ",3.26%," $ 4,478,075.00 ",0.83%,,,,,,,HS,1339,"$11,037,645.37","$8,243.20",93.53,14.31626216,"$118,011.82"
SY2018_2019,FY2019,2018STM,,"$50,272,465.00",6.02%," $ 24,337,447.00 ",6.21%," $ 7,009,196.00 ",5.06%," $ 10,022,055.00 ",9.41%," $ 674,797.00 ",1.58%," $ 1,973,989.00 ",1.74%," $ 4,657,410.00 ",4.00%,,,,,,,,,,,,,
SY2019_2020,FY2020,2019STM,,"$54,231,249.00",7.87%," $ 25,386,442.00 ",4.31%," $ 7,207,061.00 ",2.82%," $ 10,515,282.00 ",4.92%," $ 750,816.00 ",11.27%," $ 2,024,606.00 ",2.56%," $ 4,888,677.00 ",4.97%,,,,,,,Ambrose,,"$3,761,963.27",,37,,
SY2020_2021,FY2021,2020STM,,"$55,734,853.00",2.77%," $ 26,637,859.00 ",4.93%," $ 7,986,679.00 ",10.82%," $ 10,625,262.00 ",1.05%," $ 825,136.00 ",9.90%," $ 2,065,304.00 ",2.01%," $ 5,135,478.00 ",5.05%,,,,,,,Lincoln,,"$3,589,206.07",,36,,
SY2021_2022,FY2022,2021STM,,"$58,153,993.00",4.34%," $ 29,550,772.00 ",10.94%," $ 8,322,473.00 ",4.20%," $ 12,679,178.00 ",19.33%," $ 905,132.00 ",9.69%," $ 2,174,568.00 ",5.29%," $ 5,469,421.00 ",6.50%,,,,,,,Lynch,,"$3,775,627.53",,30.58,,
SY2022_2023,FY2023,2022STM,,"$60,904,378.00",4.73%," $ 30,893,737.00 ",4.54%," $ 8,725,443.00 ",4.84%," $ 12,934,961.00 ",2.02%," $ 945,472.00 ",4.46%," $ 2,291,538.00 ",5.38%," $ 5,996,323.00 ",9.63%,,,,,,,Muraco,,"$3,788,574.28",,36.5,,
SY2023_2024,FY2024,2023STM,,"$63,194,386.00",3.76%," $ 32,367,112.00 ",4.77%," $ 9,322,633.00 ",6.84%," $ 13,296,119.00 ",2.79%," $ 995,624.00 ",5.30%," $ 2,332,007.00 ",1.77%," $ 6,420,729.00 ",7.08%,,,,,,,Vinson Owen,,"$3,670,173.16",,35.5,,
SY2024_2025,FY2025,2024STM,https://winchester.us/DocumentCenter/View/11086/Finance-Committee---Yellow-Sheet,"$65,756,668.00",4.05%," $ 33,654,895.00 ",3.98%," $ 9,963,014.00 ",6.87%," $ 13,607,538.00 ",2.34%," $ 1,025,392.00 ",2.99%," $ 2,424,944.00 ",3.99%," $ 6,634,007.00 ",3.32%,,,,,,,,,,,,,
,,,,"$66,144,294.60",0.59%,,,,,,,,,,,,,,,,,,,,,,,,,
SY2025_2026,FY2026,2025STM,https://winchester.us/DocumentCenter/View/12174/FY26YellowSheet_Cerfitied_STM25,"$70,415,639.00",6.46%,,,,,,,,,,,,,,,,,,,,,,,,,
SY2026_2027,FY2027,2026STM,,"$76,270,570.00",8.31%,,,,,,," $ 66,575,598.45 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,," $ 66,278,381.92 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,," $ 288,566.02 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,," $ 8,650.51 ",," $ 66,575,598.45 ",,,,,,,,,,,1884,"$18,585,544.31","$9,864.94",175.58,10.7301515,"$105,852.29"
Average % Change,,,,,4.79%,,5.03%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY2025-2026,FY2026,2025STM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
